BN,FPE,Form ID,Program #1 Code,Program #1 %,Program #1 Desc,Program #2 Code,Program #2 %,Program #2 Desc,Program #3 Code,Program #3 %,Program #3 Desc,1510,1510-BN,1510-Name,1570,1600,1800,2000,2100,2400,5030  ,5031,5032,2500,2510,2530,2540,2550,2560,2570,2575,2580,2590,2600,2610,2620,2630,2640,2650,2660,2700,5450,5460,2730,2740,2750,2760,2770,2780,2790,2800,3200,3400,3900,4000,5800,5810,5820,5830,5840,5841,5842,5843,5850,5860,5861,5862,5863,5864
894872167RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,Y,Y,Y,N,,,,,,,,,,,,,,,Y,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
865947287RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,Y,"MEMBERSHIPS",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
118784578RR0001,2023-03-31,25,,,,,,,,,,N,"","",Y,N,Y,,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
868620832RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,Y,Y,Y,N,,,,,,,,,,,Y,,,,,,,,,Y,"Art Displays at various retail locations.",N,,,,,,,,,"",,N,N,N,Y,N,N,N,N,,,,,,,,,,
780078531RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,Y,Y,,,,,,,,,,,,,Y,"Motorcycle ride",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
890069578RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,Y,"VISITOR DONATIONS",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
842385940RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
815000187RR0001,2023-01-31,25,,,,,,,,,,,"","",,,,N,N,,,,,,,Y,,,,,,,Y,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
888290269RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
806171591RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,Y,N,N,N,N,,,,,,,,,,
